BioWare Version 5.4.9.0 Export
Device:	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)
Samples (#):	1500	1500	1500
Rate (Hz):	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	1099	1099	1099
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	10.990000	10.990000	10.990000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 13, 2024  11:34:31
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	49.617073	2.016893	140.899266
0.010000	49.536764	2.096377	141.847014
0.020000	49.537104	2.298266	142.952889
0.030000	49.456793	2.619381	140.423913
0.040000	49.576408	2.981191	141.213706
0.050000	49.456116	3.263518	141.847669
0.060000	49.415110	3.706720	141.847341
0.070000	49.294308	3.787476	140.582858
0.080000	49.092346	4.028153	140.741474
0.090000	48.971540	3.948670	139.318532
0.100000	48.648436	3.586541	139.793066
0.110000	48.688591	3.627555	140.582861
0.120000	48.124727	3.345228	140.743275
0.130000	48.486629	2.979919	143.744158
0.140000	47.922766	2.338962	147.223994
0.150000	47.156769	1.740609	154.337699
0.160000	45.668329	1.214743	168.249183
0.170000	40.757738	1.136213	183.745661
0.180000	31.944672	0.610029	201.617897
0.190000	21.324472	0.527047	224.074368
0.200000	10.862346	1.090429	250.956959
0.210000	0.722306	4.506327	279.575779
0.220000	-11.950877	10.166211	315.619789
0.230000	-24.986300	14.742891	364.778458
0.240000	-35.205124	20.201523	420.574821
0.250000	-46.109459	21.805506	473.214127
0.260000	-60.071499	22.115808	518.112976
0.270000	-73.427311	25.318049	556.690880
0.280000	-83.446209	29.366953	588.153122
0.290000	-89.519249	31.125452	616.449142
0.300000	-92.172512	31.965755	641.426239
0.310000	-94.587402	36.057899	666.397430
0.320000	-96.194607	38.939345	687.892059
0.330000	-96.231030	37.769659	701.959534
0.340000	-91.363644	36.245796	704.170303
0.350000	-88.305096	35.761262	691.847900
0.360000	-85.287041	32.820356	653.602966
0.370000	-80.296314	28.082803	612.354675
0.380000	-84.239113	24.827461	570.789322
0.390000	-90.154251	21.860173	532.531921
0.400000	-90.956665	19.218132	507.380989
0.410000	-75.139530	18.073253	498.810280
0.420000	-41.619178	16.689922	499.866180
0.430000	-8.386870	17.992826	500.928810
0.440000	-2.794330	22.361255	488.589535
0.450000	-12.494027	21.296802	465.831234
0.460000	-20.903848	15.904615	441.500874
0.470000	-24.446631	12.367902	416.059574
0.480000	-26.498258	11.318396	400.890823
0.490000	-24.444424	9.752564	394.881840
0.500000	-17.041186	12.134857	398.191261
0.510000	-4.852747	17.214516	394.543476
0.520000	6.253384	19.073170	394.687351
0.530000	-0.985670	17.712725	397.685455
0.540000	-13.416396	14.544499	401.007504
0.550000	-20.576838	13.266401	400.695686
0.560000	-22.386007	13.744575	413.342178
0.570000	-17.393751	18.047832	434.989540
0.580000	-15.622019	21.585500	463.746338
0.590000	-20.971085	24.200520	496.931370
0.600000	-29.900371	26.489973	533.278179
0.610000	-37.497251	26.967192	568.679237
0.620000	-45.580571	26.277588	602.819073
0.630000	-52.458570	28.839828	640.914734
0.640000	-53.866363	32.457614	684.537506
0.650000	-57.608052	37.156698	728.319832
0.660000	-64.121944	40.605976	772.103676
0.670000	-73.616283	40.726475	820.313416
0.680000	-91.481647	39.022973	867.585770
0.690000	-108.020893	41.096544	906.158791
0.700000	-111.798489	43.855583	946.149643
0.710000	-112.039589	44.093715	976.973312
0.720000	-117.913719	40.323641	1001.639877
0.730000	-120.809784	42.897646	1023.933334
