BioWare Version 5.4.9.0 Export
Device:	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)
Samples (#):	1500	1500	1500
Rate (Hz):	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	821	821	821
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	8.210000	8.210000	8.210000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 13, 2024  11:39:23
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	27.038025	-0.339227	219.075611
0.010000	26.836742	-0.137974	216.705250
0.020000	26.594795	-0.419029	215.914806
0.030000	26.918071	-0.581176	215.441097
0.040000	27.038025	-0.782430	213.385994
0.050000	26.837421	-0.742688	212.594891
0.060000	26.877406	-0.501693	211.487545
0.070000	27.239477	-0.381195	210.697914
0.080000	27.602228	-0.061353	210.539955
0.090000	27.521070	-0.022247	209.749836
0.100000	26.837931	0.138310	211.488197
0.110000	25.711561	0.015269	212.752850
0.120000	23.417989	-0.024791	214.492359
0.130000	21.003782	-0.104593	219.236847
0.140000	19.111588	-0.385648	225.401646
0.150000	18.145837	-0.345270	232.514202
0.160000	18.386765	-0.103321	236.782364
0.170000	18.346780	0.339246	244.051723
0.180000	18.064508	0.460697	247.212048
0.190000	16.856811	-0.181214	252.429588
0.200000	14.884476	-0.582130	258.278469
0.210000	12.509575	-1.545156	261.758797
0.220000	9.691954	-2.507228	266.344189
0.230000	6.470070	-3.827931	271.245159
0.240000	3.006917	-5.109209	280.256824
0.250000	-0.013855	-6.752934	288.634846
0.260000	-2.590208	-8.441489	300.014244
0.270000	-4.723671	-10.452113	312.343189
0.280000	-5.852247	-12.300908	325.934673
0.290000	-6.778862	-13.746878	340.473560
0.300000	-8.429959	-15.114318	352.011749
0.310000	-9.598181	-15.676109	361.967056
0.320000	-10.081905	-16.278597	369.395836
0.330000	-11.852108	-16.841024	375.086441
0.340000	-14.427782	-18.249797	383.624054
0.350000	-18.291633	-20.499508	392.318985
0.360000	-23.121404	-23.474430	409.236107
0.370000	-28.996216	-26.532016	426.783417
0.380000	-33.502711	-29.108250	447.806816
0.390000	-36.963147	-31.487042	472.621864
0.400000	-40.302780	-33.503073	504.074760
0.410000	-43.561764	-34.953495	538.529709
0.420000	-45.654734	-35.473957	578.041115
0.430000	-47.868166	-34.544948	624.189217
0.440000	-49.115507	-32.407146	668.441513
0.450000	-50.924849	-30.234376	711.593002
0.460000	-56.395906	-28.873931	750.163879
0.470000	-60.257208	-25.873260	785.891006
0.480000	-62.790861	-24.318241	828.094727
0.490000	-67.537773	-23.049683	877.258636
0.500000	-71.237610	-17.802483	927.839905
0.510000	-76.388790	-13.748489	977.156876
0.520000	-78.846546	-11.376373	1012.249680
0.530000	-80.936798	-7.642859	1029.170563
0.540000	-79.729271	-5.223049	1027.763199
0.550000	-79.447845	-5.094601	1022.087341
0.560000	-90.592094	-4.969016	1027.634232
0.570000	-109.467098	-3.522091	1048.988419
0.580000	-126.485992	-3.118313	1082.827072
0.590000	-121.534569	-2.271014	1117.765869
0.600000	-100.607426	-1.335963	1143.209320
0.610000	-86.520168	-1.577912	1164.067535
0.620000	-92.916313	-2.220141	1176.404510
0.630000	-115.367638	-2.811816	1187.961334
0.640000	-137.662079	-5.330816	1196.517471
0.650000	-147.401924	-9.097394	1208.072723
0.660000	-137.577690	-8.335303	1214.718414
0.670000	-119.104568	-8.628760	1222.147675
0.680000	-107.875767	-13.323711	1235.108688
0.690000	-115.879971	-14.531866	1252.815857
