BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	1207	1207	1207	1207
Contact period end (sample #):	8446	8446	8446	8446
Contact period start time (s):	1.207000	1.207000	1.207000	1.207000
Contact period end time (s):	8.446000	8.446000	8.446000	8.446000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	28.189652	1.816660	44.479701	0.014142
0.001000	28.037065	1.435190	45.597417	0.011771
0.002000	28.151505	1.587778	44.801208	0.015860
0.003000	28.037065	1.816660	45.594787	0.016142
0.004000	28.380387	1.625925	45.749309	0.016152
0.005000	28.113358	1.435190	42.900416	0.015689
0.006000	28.189652	1.549631	44.641759	0.012769
0.007000	27.960771	1.435190	45.909725	0.013501
0.008000	28.227799	1.549631	45.114505	0.015662
0.009000	28.456681	1.435190	46.062604	0.016820
0.010000	27.884477	1.587778	44.319600	0.014969
0.011000	27.922624	1.473337	45.431086	0.015864
0.012000	27.884477	1.473337	43.691722	0.018798
0.013000	27.960771	1.625925	44.009607	0.015878
0.014000	28.037065	1.702219	44.486605	0.015188
0.015000	28.075212	1.358896	43.851802	0.015375
0.016000	27.998918	1.511484	45.271974	0.015401
0.017000	27.922624	1.549631	44.167394	0.015431
0.018000	28.113358	1.397043	45.272964	0.016157
0.019000	27.998918	1.549631	45.119768	0.017651
0.020000	28.265946	1.473337	45.433381	0.015517
0.021000	28.037065	1.473337	44.324190	0.012133
0.022000	27.922624	1.702219	44.323873	0.013134
0.023000	27.922624	1.549631	44.163120	0.016336
0.024000	28.037065	1.549631	44.166741	0.018007
0.025000	27.998918	1.358896	45.909725	0.011729
0.026000	27.846330	1.473337	45.432411	0.018553
0.027000	27.808183	1.625925	43.534904	0.015757
0.028000	28.037065	1.435190	46.066542	0.014664
0.029000	28.075212	1.358896	44.318947	0.013862
0.030000	28.189652	1.358896	43.377751	0.014968
0.031000	28.113358	1.587778	44.960972	0.016291
0.032000	27.998918	1.625925	44.165099	0.016244
0.033000	27.998918	1.397043	42.737369	0.014467
0.034000	28.189652	1.549631	45.432728	0.016466
0.035000	27.998918	1.435190	45.747983	0.015690
0.036000	28.075212	1.664072	44.800891	0.016807
0.037000	28.113358	1.358896	43.686776	0.016763
0.038000	28.037065	1.358896	44.323874	0.014808
0.039000	27.960771	1.320749	45.276901	0.017202
0.040000	28.189652	1.511484	45.116147	0.016586
0.041000	28.304093	1.358896	45.751603	0.015367
0.042000	28.151505	1.549631	45.114842	0.018378
0.043000	28.151505	1.091867	46.229591	0.015793
0.044000	28.037065	1.549631	46.062604	0.017248
0.045000	28.227799	1.358896	45.275259	0.014287
0.046000	27.998918	1.473337	44.011567	0.015858
0.047000	28.265946	1.206308	44.328483	0.015441
0.048000	28.304093	1.320749	45.435023	0.014602
0.049000	28.227799	1.320749	44.321916	0.016382
0.050000	28.037065	1.473337	45.277891	0.013600
0.051000	27.922624	1.358896	44.479048	0.015312
0.052000	27.884477	1.435190	45.121747	0.019514
0.053000	28.037065	1.473337	45.117452	0.011464
0.054000	27.922624	1.435190	44.638812	0.013925
0.055000	27.922624	1.473337	44.799566	0.016099
0.056000	27.998918	1.625925	44.322232	0.015746
0.057000	28.075212	1.244455	44.165078	0.013489
0.058000	27.884477	1.397043	43.688733	0.013384
0.059000	27.731889	1.435190	43.848517	0.014835
0.060000	27.884477	1.587778	44.011903	0.013254
0.061000	27.998918	1.511484	44.958678	0.014632
0.062000	28.151505	1.358896	44.956719	0.017994
0.063000	27.884477	1.625925	45.114168	0.016032
0.064000	27.960771	1.244455	45.589860	0.017091
0.065000	27.922624	1.435190	44.641759	0.012158
0.066000	28.151505	1.244455	45.113852	0.015734
0.067000	28.418534	1.511484	44.003692	0.018111
0.068000	28.151505	1.358896	44.481343	0.015079
0.069000	27.998918	1.473337	44.323874	0.015747
0.070000	28.037065	1.473337	44.161815	0.015297
0.071000	27.998918	1.320749	44.323222	0.016639
0.072000	27.808183	1.435190	44.329137	0.015934
0.073000	27.922624	1.435190	43.694985	0.014238
0.074000	27.922624	1.206308	44.006323	0.017728
0.075000	28.075212	1.244455	44.483637	0.015168
0.076000	27.846330	1.358896	45.119431	0.015178
0.077000	27.998918	1.435190	44.952109	0.017282
0.078000	28.037065	1.282602	44.484627	0.014307
0.079000	27.998918	1.397043	43.690059	0.015978
0.080000	28.075212	1.549631	44.635844	0.013776
0.081000	27.998918	1.358896	45.437654	0.014034
0.082000	27.960771	1.664072	44.007629	0.015893
0.083000	28.151505	1.397043	44.644727	0.014573
0.084000	27.884477	1.435190	45.273932	0.014661
0.085000	28.418534	1.435190	44.329789	0.011707
0.086000	27.998918	1.091867	44.318948	0.018437
