BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	9164	9164	9164	9164
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	9.164000	9.164000	9.164000	9.164000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	26.691126	-0.497350	107.393712	0.088712
0.001000	26.805567	-0.764379	107.870056	0.088461
0.002000	26.843714	-0.726232	107.242812	0.086695
0.003000	26.843714	-0.573644	106.919011	0.089255
0.004000	27.072596	-0.497350	108.027212	0.089951
0.005000	26.652979	-0.497350	107.708316	0.087652
0.006000	26.729273	-0.649938	107.077134	0.088577
0.007000	26.805567	-0.726232	107.079113	0.088568
0.008000	26.767420	-0.764379	107.860860	0.089549
0.009000	26.729273	-0.649938	108.344761	0.087118
0.010000	26.691126	-0.382909	109.299433	0.086389
0.011000	26.805567	-0.535497	106.926904	0.088955
0.012000	26.576685	-0.382909	106.445948	0.089220
0.013000	26.767420	-0.497350	107.077468	0.088961
0.014000	26.500391	-0.878820	108.505537	0.088870
0.015000	26.843714	-0.306615	108.348070	0.088656
0.016000	26.843714	-0.611791	106.598155	0.090274
0.017000	26.538538	-0.611791	107.553479	0.087683
0.018000	26.767420	-0.573644	107.231971	0.088580
0.019000	26.843714	-0.611791	106.605059	0.089559
0.020000	26.843714	-0.764379	106.281577	0.089764
0.021000	26.691126	-0.649938	107.239526	0.087910
0.022000	26.691126	-0.382909	106.125434	0.089410
0.023000	27.034449	-0.459203	107.235908	0.087318
0.024000	26.614832	-0.688085	106.758912	0.088495
0.025000	26.614832	-0.688085	107.239526	0.088336
0.026000	26.691126	-0.649938	106.439044	0.089094
0.027000	26.805567	-0.802526	107.077447	0.087752
0.028000	26.652979	-0.916967	105.650058	0.089637
0.029000	26.920008	-1.031408	107.079427	0.087336
0.030000	26.500391	-0.993261	106.915056	0.087792
0.031000	26.843714	-1.031408	107.234581	0.086997
0.032000	26.920008	-0.840673	105.959733	0.089544
0.033000	27.110743	-0.993261	106.125096	0.089210
0.034000	27.187037	-0.764379	106.756279	0.088200
0.035000	26.996302	-1.069555	107.077135	0.087675
0.036000	26.920008	-0.878820	106.447907	0.087496
0.037000	26.881861	-0.916967	107.712903	0.087200
0.038000	27.110743	-1.031408	107.235908	0.087289
0.039000	27.110743	-0.955114	105.494884	0.087402
0.040000	26.958155	-1.069555	105.489300	0.088217
0.041000	27.263330	-0.955114	106.764827	0.087470
0.042000	27.187037	-0.802526	106.286502	0.088863
0.043000	27.187037	-0.726232	105.967626	0.088724
0.044000	27.148890	-1.031408	105.180280	0.088083
0.045000	26.996302	-0.840673	107.078774	0.088080
0.046000	27.187037	-0.688085	105.646122	0.089745
0.047000	26.920008	-0.840673	105.813779	0.088045
0.048000	27.148890	-0.878820	106.289133	0.088514
0.049000	26.958155	-0.878820	105.968934	0.087254
0.050000	27.034449	-0.993261	106.289784	0.087782
0.051000	27.187037	-0.764379	106.131011	0.088835
0.052000	27.072596	-1.069555	105.335454	0.089351
0.053000	27.148890	-0.955114	105.971561	0.088382
0.054000	27.263330	-0.649938	106.134629	0.088834
0.055000	27.110743	-0.802526	105.493237	0.086986
0.056000	26.958155	-0.916967	105.968933	0.088046
0.057000	27.301477	-0.955114	105.654328	0.088584
0.058000	27.225183	-0.764379	105.334464	0.087270
0.059000	27.377771	-0.726232	105.178974	0.088765
0.060000	27.187037	-0.916967	105.179310	0.090065
0.061000	27.301477	-0.497350	105.811463	0.087036
0.062000	27.187037	-0.764379	105.175669	0.087208
0.063000	27.187037	-0.840673	105.182260	0.087688
0.064000	27.377771	-0.764379	105.182259	0.087997
0.065000	27.301477	-0.535497	105.496862	0.087731
0.066000	27.415918	-0.649938	105.654667	0.088537
0.067000	27.072596	-0.688085	105.503428	0.087499
0.068000	27.187037	-0.535497	105.178299	0.086838
0.069000	27.301477	-0.688085	105.339054	0.087669
0.070000	27.415918	-0.573644	106.131980	0.087142
0.071000	27.225183	-0.268468	104.543832	0.088161
0.072000	27.187037	-0.459203	105.814745	0.085933
0.073000	27.263330	-0.535497	104.864036	0.088711
0.074000	27.148890	-0.382909	105.971229	0.086783
0.075000	27.454065	-0.421056	106.447573	0.086447
0.076000	27.530359	-0.421056	106.284209	0.087496
0.077000	27.148890	-0.497350	106.132632	0.086084
0.078000	27.301477	-0.573644	104.557621	0.085041
0.079000	27.415918	-0.306615	105.657613	0.088156
0.080000	27.301477	-0.344762	105.339709	0.086872
0.081000	27.301477	-0.421056	105.654329	0.087784
0.082000	27.187037	-0.421056	105.337093	0.087712
0.083000	27.415918	-0.573644	104.546802	0.089318
