BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	7913	7913	7913	7913
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	7.913000	7.913000	7.913000	7.913000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	-13.644141	8.655524	196.949479	0.071866
0.001000	-13.529700	8.541083	196.152596	0.071647
0.002000	-13.529700	8.541083	196.313033	0.072090
0.003000	-13.491553	8.274054	196.469515	0.071927
0.004000	-13.567847	8.235907	195.992182	0.071820
0.005000	-13.529700	8.464789	196.948153	0.071228
0.006000	-13.491553	8.731818	196.947477	0.070613
0.007000	-13.224524	8.693671	195.042774	0.072088
0.008000	-13.186377	8.541083	195.516487	0.072648
0.009000	-13.453406	8.731818	196.634521	0.070906
0.010000	-13.224524	8.808112	196.627637	0.071704
0.011000	-13.186377	8.731818	195.998430	0.071688
0.012000	-13.186377	8.693671	194.724866	0.072006
0.013000	-12.995642	8.655524	195.682820	0.071352
0.014000	-13.186377	8.846259	195.838643	0.071668
0.015000	-13.338965	8.579230	196.786091	0.071772
0.016000	-13.262671	8.769965	195.678229	0.071852
0.017000	-13.186377	8.579230	194.890232	0.071795
0.018000	-13.148230	8.731818	195.674268	0.070804
0.019000	-13.148230	8.769965	195.679872	0.071606
0.020000	-13.262671	8.502936	195.358704	0.073029
0.021000	-12.919348	8.502936	195.681512	0.071119
0.022000	-13.110083	8.541083	195.521072	0.071354
0.023000	-13.491553	8.808112	195.041446	0.072384
0.024000	-13.224524	8.502936	195.049006	0.071434
0.025000	-13.186377	8.464789	197.108590	0.072002
0.026000	-13.415259	8.541083	196.156216	0.071595
0.027000	-13.377112	8.502936	194.728147	0.071192
0.028000	-13.071936	8.541083	196.154575	0.071517
0.029000	-13.415259	8.579230	195.520415	0.070797
0.030000	-13.377112	8.541083	194.729143	0.071818
0.031000	-13.186377	8.464789	195.363941	0.071313
0.032000	-13.377112	8.502936	194.887265	0.072080
0.033000	-13.491553	8.769965	195.839294	0.071324
0.034000	-13.529700	8.426642	195.363941	0.071398
0.035000	-13.262671	8.464789	195.515500	0.071832
0.036000	-13.224524	8.502936	195.045717	0.071871
0.037000	-13.453406	8.350348	195.674925	0.071300
0.038000	-13.491553	8.350348	195.516803	0.071470
0.039000	-13.415259	8.388495	194.570042	0.071975
0.040000	-13.491553	8.579230	194.246874	0.072165
0.041000	-13.682288	8.083319	194.409273	0.072239
0.042000	-13.720435	8.350348	194.730783	0.071896
0.043000	-13.605994	8.502936	195.679534	0.071307
0.044000	-13.796729	8.274054	195.045382	0.070967
0.045000	-13.682288	8.274054	195.201210	0.072050
0.046000	-13.529700	8.197760	194.890885	0.071457
0.047000	-13.758582	8.579230	195.841596	0.070963
0.048000	-13.605994	8.350348	194.409925	0.071375
0.049000	-13.300818	8.274054	194.410593	0.071702
0.050000	-13.834876	8.426642	196.311031	0.070735
0.051000	-13.644141	8.579230	194.888254	0.071716
0.052000	-13.567847	8.579230	196.155227	0.071222
0.053000	-13.453406	8.350348	195.045717	0.071716
0.054000	-13.491553	8.274054	194.572998	0.072200
0.055000	-13.148230	8.502936	195.047365	0.071423
0.056000	-13.377112	8.426642	194.887917	0.071236
0.057000	-13.224524	8.464789	195.522720	0.071375
0.058000	-13.262671	8.655524	195.841594	0.071051
0.059000	-13.567847	8.617377	196.630919	0.070936
0.060000	-13.262671	8.426642	194.416180	0.071884
0.061000	-13.338965	8.426642	195.368870	0.071117
0.062000	-13.148230	8.579230	194.575291	0.072110
0.063000	-13.262671	8.426642	195.841596	0.070629
0.064000	-13.071936	8.541083	193.777441	0.072951
0.065000	-13.071936	8.541083	195.365587	0.071488
0.066000	-13.071936	8.388495	193.462471	0.071384
0.067000	-12.919348	8.464789	196.158847	0.070826
0.068000	-13.033789	8.502936	194.420448	0.071802
0.069000	-13.033789	8.426642	194.731435	0.071092
0.070000	-12.843054	8.312201	193.630159	0.071934
0.071000	-12.766760	8.655524	193.621268	0.071552
0.072000	-12.919348	8.426642	193.145912	0.071657
0.073000	-12.919348	8.579230	195.048356	0.071146
0.074000	-12.957495	8.312201	194.886928	0.071139
0.075000	-12.881201	8.769965	193.625216	0.071356
0.076000	-12.995642	8.808112	195.369859	0.071236
0.077000	-12.728613	8.731818	194.095326	0.072534
0.078000	-12.957495	8.808112	194.578573	0.070990
0.079000	-13.071936	8.693671	194.568377	0.071496
0.080000	-12.919348	8.388495	193.784658	0.071182
0.081000	-13.033789	8.731818	194.101892	0.071095
0.082000	-12.728613	8.884406	194.569373	0.072250
0.083000	-12.957495	8.808112	195.366576	0.072085
