BioWare Version 5.4.9.0 Export
Device:	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)
Samples (#):	1500	1500	1500
Rate (Hz):	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	944	944	944
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	9.440000	9.440000	9.440000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 13, 2024  11:36:34
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	55.216421	0.811812	145.230513
0.010000	54.975492	0.651255	145.388798
0.020000	55.014967	0.651573	145.705700
0.030000	55.136282	0.610559	146.968384
0.040000	55.378059	0.891932	145.546103
0.050000	55.699806	0.931992	147.282825
0.060000	55.981398	1.052171	147.283648
0.070000	56.183020	0.932310	147.283812
0.080000	55.821119	1.131973	146.019157
0.090000	55.780964	0.890024	146.651157
0.100000	55.177624	1.292530	147.125196
0.110000	54.855877	1.453088	148.704615
0.120000	54.735073	1.694401	148.864212
0.130000	54.654594	1.854004	151.077105
0.140000	54.494656	1.894064	153.129911
0.150000	53.850313	2.214542	156.448841
0.160000	53.287975	2.495915	159.765806
0.170000	52.724623	3.219218	163.715910
0.180000	52.564514	3.660512	166.243572
0.190000	52.122131	4.382544	172.721344
0.200000	51.841728	4.824473	178.409643
0.210000	51.359531	5.466067	182.833630
0.220000	50.475279	5.907679	188.365284
0.230000	49.671846	6.469153	193.736198
0.240000	47.903002	6.947327	198.793665
0.250000	46.054186	8.229559	205.273235
0.260000	44.687399	8.948092	210.804399
0.270000	43.361443	9.303542	214.911814
0.280000	42.600033	9.176048	221.863297
0.290000	41.677664	8.927739	228.182617
0.300000	40.875418	8.516646	236.715487
0.310000	40.516912	7.985373	242.561098
0.320000	39.955935	7.496069	247.143045
0.330000	39.032376	7.528814	252.674368
0.340000	37.908045	7.562832	257.888151
0.350000	37.105289	8.480074	265.158171
0.360000	36.020432	8.877174	268.949831
0.370000	35.860832	9.274592	274.481489
0.380000	35.780694	10.074835	279.376888
0.390000	35.339160	10.394677	284.907240
0.400000	35.459795	11.440049	289.804281
0.410000	35.057909	12.645660	295.966291
0.420000	34.977939	13.368009	300.704712
0.430000	34.817829	13.769561	305.918167
0.440000	34.979128	14.251551	311.606480
0.450000	34.255154	14.130417	316.662130
0.460000	33.853268	14.330082	322.349119
0.470000	33.089647	14.209584	328.194084
0.480000	32.164732	14.570438	336.569805
0.490000	30.877574	15.253364	342.256163
0.500000	29.549751	15.815792	351.578325
0.510000	28.504200	16.217981	360.899836
0.520000	27.016099	16.460566	370.853510
0.530000	26.010535	16.540684	382.860485
0.540000	24.724056	16.782634	393.447630
0.550000	22.873544	17.105021	405.454933
0.560000	21.384933	17.186730	417.145828
0.570000	19.575594	17.671584	430.891659
0.580000	17.886040	18.757968	445.585884
0.590000	16.519592	19.322305	461.227222
0.600000	15.072833	20.008092	477.974915
0.610000	13.585919	20.371811	496.460464
0.620000	11.213737	21.379984	516.684906
0.630000	9.606191	22.025076	537.225395
0.640000	7.353792	23.477407	554.446636
0.650000	5.503281	25.129399	571.985424
0.660000	4.056182	26.217057	587.154690
0.670000	3.293242	26.783938	604.535019
0.680000	2.409499	27.791158	620.651871
0.690000	0.439881	28.637184	639.297718
0.700000	-2.093091	29.724843	659.839676
0.710000	-4.585400	30.732381	682.119038
0.720000	-7.722051	32.384057	704.559284
0.730000	-11.543371	33.912691	730.475609
0.740000	-15.886362	35.644168	758.129158
0.750000	-18.136892	36.888247	785.941650
