BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	7741	7741	7741	7741
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	7.741000	7.741000	7.741000	7.741000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	42.154806	5.261163	167.184039	0.114539
0.001000	42.040365	5.184870	167.974650	0.112873
0.002000	41.964071	5.070429	166.386505	0.114323
0.003000	42.116659	5.032282	166.867119	0.114013
0.004000	42.116659	5.070429	167.180085	0.112786
0.005000	41.887777	4.879694	167.501925	0.113349
0.006000	41.849630	4.917841	168.292535	0.112448
0.007000	41.658895	4.955988	167.343802	0.113396
0.008000	41.544455	4.917841	167.345113	0.112913
0.009000	41.887777	5.070429	167.341487	0.112854
0.010000	41.697042	5.108575	167.184354	0.112873
0.011000	41.773336	4.841547	168.133111	0.112701
0.012000	41.468161	4.612665	167.337217	0.113019
0.013000	41.353720	4.841547	168.136713	0.111786
0.014000	41.162985	4.574518	167.335263	0.113107
0.015000	41.201132	4.841547	167.182046	0.112549
0.016000	41.201132	4.841547	168.921768	0.111706
0.017000	41.048544	4.841547	167.656766	0.113138
0.018000	41.048544	4.650812	167.656430	0.112115
0.019000	41.201132	4.574518	167.180737	0.112283
0.020000	40.934103	4.574518	168.452300	0.111188
0.021000	40.857809	4.612665	167.020635	0.113174
0.022000	41.010397	4.727106	168.448366	0.112222
0.023000	40.781515	4.650812	168.444097	0.112330
0.024000	40.972250	4.536371	168.130145	0.111695
0.025000	40.895956	4.803400	169.238326	0.111097
0.026000	40.972250	4.765253	168.446052	0.110734
0.027000	40.857809	4.727106	169.869174	0.110456
0.028000	40.743368	4.536371	169.556888	0.110380
0.029000	40.590780	4.612665	168.442119	0.111386
0.030000	40.514486	4.460077	170.340615	0.110610
0.031000	40.705221	4.460077	168.288918	0.111802
0.032000	40.323751	4.345636	169.715009	0.110786
0.033000	40.628927	4.498224	167.655104	0.111238
0.034000	40.361898	4.345636	168.443108	0.111954
0.035000	40.323751	4.536371	168.447378	0.111928
0.036000	40.209311	4.574518	170.031920	0.111352
0.037000	40.056723	4.383783	170.184109	0.109724
0.038000	40.209311	4.650812	169.079216	0.110779
0.039000	40.285604	4.460077	170.024009	0.109911
0.040000	40.133017	4.536371	169.710401	0.110645
0.041000	40.209311	4.421930	169.712043	0.109844
0.042000	39.904135	4.421930	169.086116	0.110544
0.043000	40.171164	4.727106	169.552280	0.110354
0.044000	39.865988	4.498224	170.664080	0.109795
0.045000	40.171164	4.650812	170.187078	0.109397
0.046000	39.942282	4.269342	170.029928	0.109200
0.047000	39.904135	4.460077	169.866875	0.110496
0.048000	40.361898	4.498224	169.553584	0.109278
0.049000	40.133017	4.612665	169.873446	0.109615
0.050000	40.209311	4.536371	169.871491	0.110351
0.051000	40.361898	4.498224	171.137138	0.108460
0.052000	40.361898	4.421930	170.659152	0.109429
0.053000	40.209311	4.421930	170.026976	0.110402
0.054000	40.094870	4.421930	171.138447	0.108795
0.055000	39.942282	4.574518	169.871805	0.109939
0.056000	40.056723	4.307489	170.665070	0.109468
0.057000	40.133017	4.498224	171.771940	0.108846
0.058000	40.171164	4.345636	172.085242	0.109147
0.059000	40.171164	4.383783	170.654881	0.109775
0.060000	40.056723	4.269342	172.405104	0.108944
0.061000	40.056723	4.307489	169.869844	0.110152
0.062000	39.865988	4.345636	171.925472	0.109223
0.063000	39.865988	4.040460	169.547664	0.110237
0.064000	40.285604	4.193048	170.821228	0.110688
0.065000	40.133017	4.231195	170.817587	0.109033
0.066000	40.056723	4.193048	171.932693	0.108365
0.067000	40.056723	4.498224	171.450116	0.110110
0.068000	40.133017	4.460077	171.141094	0.108976
0.069000	40.171164	4.460077	172.719371	0.107993
0.070000	40.056723	4.231195	171.768008	0.109141
0.071000	40.285604	4.116754	172.558948	0.109190
0.072000	40.323751	4.383783	170.656208	0.110462
0.073000	40.247458	4.154901	171.133541	0.110266
0.074000	40.285604	4.116754	171.141746	0.108677
0.075000	40.171164	4.269342	172.714440	0.109525
0.076000	40.018576	4.345636	173.034980	0.108557
0.077000	39.980429	4.460077	171.136508	0.110560
0.078000	40.133017	4.383783	172.402137	0.108713
0.079000	40.400045	4.078607	172.241715	0.109367
0.080000	40.285604	3.887872	172.403793	0.109622
0.081000	40.209311	3.926019	172.095093	0.108054
0.082000	40.209311	4.002313	171.773582	0.108556
0.083000	40.285604	4.078607	172.561586	0.108914
0.084000	40.400045	4.269342	173.825927	0.108564
0.085000	40.323751	4.078607	174.303912	0.108132
0.086000	40.476339	4.040460	174.459422	0.108603
