BioWare Version 5.4.9.0 Export
Device:	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)
Samples (#):	1500	1500	1500
Rate (Hz):	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	1499	1499	1499
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	14.990000	14.990000	14.990000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 13, 2024  11:33:32
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	26.792643	7.398158	182.198718
0.010000	26.792812	7.438218	182.356513
0.020000	26.994095	7.196905	182.515290
0.030000	27.396831	7.236965	184.885649
0.040000	28.161128	7.358735	184.568094
0.050000	27.880216	7.678895	183.777318
0.060000	27.678932	7.477006	183.776994
0.070000	28.161808	7.637881	183.936096
0.080000	28.363600	7.556489	183.618545
0.090000	28.364449	7.234103	185.674789
0.100000	28.162147	6.188413	184.885160
0.110000	28.001019	5.266083	186.622537
0.120000	28.564544	3.858265	185.673641
0.130000	28.846475	2.772833	188.833140
0.140000	29.047927	2.571261	190.255425
0.150000	29.209565	2.248239	191.994275
0.160000	29.411188	2.006608	192.942192
0.170000	29.170090	2.527385	192.941373
0.180000	29.169920	2.406570	193.732641
0.190000	29.009641	2.085773	194.524397
0.200000	29.330878	2.085137	194.680395
0.210000	29.491667	1.523346	195.469038
0.220000	30.095345	1.603783	196.575724
0.230000	30.296119	1.645115	196.417274
0.240000	30.497742	1.886110	196.574415
0.250000	30.336274	1.886110	196.416946
0.260000	30.054852	2.126787	196.259152
0.270000	30.054343	2.650427	195.310743
0.280000	29.854248	2.487962	196.417934
0.290000	30.135671	2.487962	196.416783
0.300000	30.175995	2.809394	198.470413
0.310000	30.256474	2.930846	198.629354
0.320000	30.336783	2.972178	200.682323
0.330000	30.337124	3.012238	201.946642
0.340000	30.779504	3.132735	204.316669
0.350000	30.659210	3.132735	205.895935
0.360000	30.215810	3.012874	206.525475
0.370000	30.175654	3.254823	209.213066
0.380000	29.813244	3.295201	213.004555
0.390000	30.135330	2.974086	214.584309
0.400000	29.652286	2.852634	217.900776
0.410000	29.370693	2.611957	222.799124
0.420000	29.008622	2.048894	228.961800
0.430000	28.645872	2.129649	233.226521
0.440000	28.524899	2.011060	238.914001
0.450000	28.484743	1.808535	246.340511
0.460000	28.162826	1.286803	252.659836
0.470000	28.122842	1.127199	257.715162
0.480000	28.243645	0.806085	265.299131
0.490000	28.244154	0.844872	270.512735
0.500000	27.641154	1.005112	277.147650
0.510000	27.600830	1.366286	285.522728
0.520000	28.125218	1.847322	290.260828
0.530000	28.407490	2.290525	298.001783
0.540000	28.890704	2.209769	304.478895
0.550000	29.413734	2.008834	310.322710
0.560000	30.098402	2.531520	319.011736
0.570000	30.621262	2.772833	327.226072
0.580000	31.143952	2.934026	334.649950
0.590000	31.385052	2.937206	343.496113
0.600000	31.827772	2.899055	353.606112
0.610000	31.948745	2.898419	361.033276
0.620000	31.868434	3.059294	367.982786
0.630000	31.305590	3.180110	377.779970
0.640000	30.903025	3.338123	385.522085
0.650000	30.863209	3.339077	395.160007
0.660000	30.863888	3.096492	404.322577
0.670000	31.226299	3.135597	418.859022
0.680000	30.501817	3.217307	429.285429
0.690000	29.656870	3.177565	444.137119
0.700000	28.730765	3.057068	460.886627
0.710000	27.322803	3.338759	477.793243
0.720000	25.793019	3.459256	496.595057
0.730000	23.579416	3.458302	519.666161
0.740000	21.687391	3.058340	539.260063
0.750000	19.272845	2.697166	562.332813
0.760000	16.334931	2.054300	584.298042
