BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	655	655	655	655
Contact period end (sample #):	8364	8364	8364	8364
Contact period start time (s):	0.655000	0.655000	0.655000	0.655000
Contact period end time (s):	8.364000	8.364000	8.364000	8.364000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	8.173770	-2.637659	74.199188	0.075448
0.001000	8.250064	-2.904688	74.991438	0.074309
0.002000	8.173770	-2.828394	75.143983	0.074991
0.003000	8.059329	-2.828394	74.834305	0.073769
0.004000	7.868594	-2.790247	75.624599	0.075004
0.005000	8.021182	-2.637659	74.990786	0.074453
0.006000	7.754153	-2.408777	75.149899	0.075292
0.007000	7.716006	-2.256189	76.103239	0.073818
0.008000	7.944888	-2.103601	75.302756	0.074149
0.009000	7.906741	-2.294336	76.422789	0.073923
0.010000	7.563418	-2.218042	75.153835	0.072132
0.011000	7.448977	-2.065454	75.940843	0.072770
0.012000	7.220096	-1.989161	75.307365	0.074096
0.013000	7.220096	-1.912867	75.311639	0.073562
0.014000	7.220096	-2.027308	75.945139	0.074556
0.015000	7.029361	-1.912867	74.837592	0.075000
0.016000	6.914920	-2.065454	76.103578	0.072700
0.017000	6.800479	-1.951014	77.210115	0.070359
0.018000	6.762332	-1.798426	76.102590	0.073337
0.019000	6.686038	-1.569544	76.413251	0.074123
0.020000	6.838626	-1.645838	75.307032	0.073243
0.021000	6.991214	-1.836573	76.412916	0.073387
0.022000	6.800479	-1.607691	77.371204	0.073148
0.023000	6.724185	-1.493250	77.687449	0.072358
0.024000	6.762332	-1.798426	78.005335	0.069399
0.025000	6.647891	-1.378809	76.736737	0.074939
0.026000	6.991214	-1.645838	76.893220	0.073214
0.027000	6.686038	-1.798426	78.956066	0.070149
0.028000	6.838626	-1.607691	78.482690	0.072326
0.029000	6.838626	-1.683985	78.319307	0.073784
0.030000	6.800479	-1.760279	77.531305	0.072731
0.031000	6.991214	-1.607691	79.114209	0.073196
0.032000	7.181949	-1.836573	78.792368	0.072844
0.033000	7.105655	-1.645838	78.321599	0.073100
0.034000	7.334537	-2.141748	78.792706	0.073275
0.035000	7.372684	-1.760279	77.838369	0.075746
0.036000	7.067508	-2.027308	79.587608	0.073990
0.037000	7.410830	-2.065454	77.848877	0.074165
0.038000	7.639712	-1.989161	78.157249	0.074745
0.039000	7.334537	-1.798426	78.793694	0.074849
0.040000	7.716006	-1.989161	78.636224	0.073983
0.041000	7.601565	-2.179895	80.536678	0.072258
0.042000	7.601565	-2.141748	78.946891	0.074248
0.043000	7.601565	-2.294336	80.061322	0.073471
0.044000	7.639712	-2.179895	79.430453	0.073541
0.045000	7.639712	-2.103601	80.057067	0.077045
0.046000	7.448977	-2.103601	78.317683	0.076033
0.047000	7.181949	-2.103601	79.899601	0.077226
0.048000	7.258243	-2.027308	79.419299	0.075287
0.049000	7.220096	-1.912867	80.692842	0.074634
0.050000	7.067508	-2.027308	80.056396	0.075325
0.051000	7.067508	-1.798426	81.010076	0.075449
0.052000	7.067508	-2.103601	79.422246	0.073859
0.053000	6.876773	-2.027308	81.321055	0.072186
0.054000	6.838626	-2.141748	80.373967	0.074132
0.055000	6.838626	-2.218042	81.801044	0.074068
0.056000	6.914920	-2.408777	81.008098	0.072476
0.057000	6.838626	-2.218042	80.845387	0.076993
0.058000	6.800479	-2.179895	82.112025	0.073773
0.059000	6.953067	-2.523218	82.428608	0.074395
0.060000	6.953067	-2.675806	81.792496	0.074469
0.061000	6.991214	-2.866541	82.110066	0.075668
0.062000	6.800479	-2.828394	81.795129	0.077613
0.063000	6.991214	-2.828394	81.791844	0.076974
0.064000	6.991214	-2.790247	82.427300	0.076375
0.065000	7.181949	-2.904688	83.222519	0.074785
0.066000	7.143802	-3.057276	82.903645	0.075592
0.067000	7.143802	-3.171717	82.584115	0.077382
0.068000	7.181949	-3.133570	82.584454	0.077360
0.069000	7.220096	-3.209864	83.375064	0.075827
0.070000	7.105655	-3.362452	83.847810	0.076673
0.071000	7.448977	-3.400599	83.687710	0.078344
0.072000	7.067508	-3.743921	82.743228	0.076029
0.073000	7.296390	-3.553186	84.005932	0.076166
0.074000	7.220096	-3.782068	83.051917	0.076583
0.075000	7.105655	-3.591333	82.732052	0.075922
0.076000	7.181949	-3.591333	83.528599	0.076416
0.077000	7.143802	-3.934656	83.525312	0.075920
0.078000	7.105655	-3.858362	82.736660	0.076968
0.079000	7.220096	-3.934656	82.890507	0.077461
0.080000	6.914920	-4.049097	84.951719	0.074500
0.081000	7.029361	-3.934656	83.683774	0.077079
0.082000	7.029361	-3.972803	84.316595	0.077949
0.083000	6.953067	-4.010950	84.313965	0.076002
