BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2	2	2	2
Contact period end (sample #):	8602	8602	8602	8602
Contact period start time (s):	0.002000	0.002000	0.002000	0.002000
Contact period end time (s):	8.602000	8.602000	8.602000	8.602000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	47.623257	-4.218719	99.588082	0.124406
0.001000	47.241787	-3.989837	98.951636	0.126343
0.002000	47.470669	-4.218719	100.222230	0.125839
0.003000	47.508816	-4.256866	98.006502	0.127530
0.004000	47.470669	-4.333160	99.747844	0.124941
0.005000	47.394375	-4.333160	99.900410	0.126734
0.006000	47.279934	-4.218719	97.365466	0.128979
0.007000	47.356228	-4.104278	99.424379	0.126292
0.008000	47.699551	-4.027984	98.947700	0.126981
0.009000	47.737698	-4.295013	98.637368	0.125627
0.010000	47.623257	-4.256866	99.264275	0.126142
0.011000	47.470669	-4.371307	99.267901	0.127122
0.012000	47.737698	-4.142425	98.631115	0.126505
0.013000	47.623257	-4.295013	98.479246	0.126576
0.014000	47.585110	-4.256866	98.951971	0.126163
0.015000	47.546963	-4.104278	99.109759	0.125744
0.016000	47.623257	-4.104278	100.061479	0.125747
0.017000	47.432522	-4.180572	98.160037	0.128012
0.018000	47.470669	-4.104278	98.958873	0.127127
0.019000	47.318081	-4.066131	97.845770	0.130331
0.020000	47.737698	-4.256866	99.428000	0.127434
0.021000	47.585110	-3.951690	99.112726	0.126620
0.022000	47.661404	-4.066131	100.382982	0.125312
0.023000	47.623257	-4.218719	99.267245	0.127484
0.024000	47.623257	-4.218719	99.268215	0.125711
0.025000	47.737698	-4.180572	98.634084	0.129204
0.026000	47.775845	-4.180572	99.270193	0.126524
0.027000	47.813992	-3.913543	99.904008	0.125202
0.028000	47.737698	-4.104278	98.949678	0.128308
0.029000	47.852139	-4.295013	98.797133	0.126471
0.030000	47.890285	-4.104278	100.064760	0.124736
0.031000	47.813992	-4.142425	99.271499	0.125620
0.032000	47.661404	-4.104278	99.271182	0.126585
0.033000	47.699551	-3.989837	100.216655	0.125264
0.034000	47.775845	-4.104278	99.902680	0.126546
0.035000	47.890285	-4.256866	100.854402	0.124336
0.036000	47.699551	-4.104278	98.952308	0.126994
0.037000	47.546963	-4.218719	99.745886	0.126218
0.038000	47.470669	-3.913543	99.275455	0.127135
0.039000	47.623257	-4.142425	99.107463	0.126586
0.040000	47.585110	-4.066131	100.696618	0.125357
0.041000	47.585110	-4.027984	100.218612	0.124892
0.042000	47.775845	-3.875396	100.382331	0.124811
0.043000	47.623257	-3.951690	98.944412	0.127008
0.044000	47.623257	-4.066131	99.586103	0.124844
0.045000	47.661404	-3.989837	100.854402	0.124453
0.046000	47.661404	-3.722809	99.271180	0.124364
0.047000	47.699551	-3.722809	97.526558	0.130579
0.048000	47.775845	-3.989837	98.957886	0.125184
0.049000	47.508816	-3.951690	98.951637	0.125757
0.050000	47.470669	-3.837250	101.336662	0.122422
0.051000	47.318081	-3.913543	98.801409	0.124972
0.052000	47.470669	-3.913543	99.115357	0.125349
0.053000	47.394375	-4.104278	99.270848	0.125837
0.054000	47.661404	-3.875396	99.588081	0.125712
0.055000	47.432522	-3.875396	99.428316	0.125377
0.056000	47.356228	-3.837250	99.750474	0.124562
0.057000	47.585110	-4.027984	98.636382	0.126600
0.058000	47.394375	-3.951690	98.635074	0.128488
0.059000	47.623257	-3.722809	100.221894	0.123564
0.060000	47.356228	-3.875396	97.686970	0.128046
0.061000	47.508816	-3.760956	99.271838	0.125778
0.062000	47.356228	-3.837250	99.592691	0.124550
0.063000	47.470669	-3.837250	99.276426	0.124036
0.064000	47.546963	-3.837250	99.751130	0.124025
0.065000	47.470669	-3.837250	98.480238	0.127553
0.066000	47.470669	-3.913543	99.275119	0.125361
0.067000	47.508816	-3.875396	99.590712	0.124912
0.068000	47.508816	-3.570221	99.589406	0.125348
0.069000	47.546963	-3.799103	99.273160	0.127090
0.070000	47.394375	-3.760956	99.272825	0.124507
0.071000	47.585110	-3.875396	98.477270	0.127939
0.072000	47.546963	-3.951690	99.274129	0.125320
0.073000	47.546963	-3.951690	98.793196	0.127962
0.074000	47.432522	-3.684662	99.427326	0.125374
0.075000	47.546963	-3.799103	99.755087	0.123582
0.076000	47.623257	-3.837250	99.430611	0.125285
0.077000	47.356228	-3.837250	98.320786	0.126712
0.078000	47.737698	-3.875396	99.430292	0.127884
0.079000	47.585110	-3.799103	101.181152	0.121928
0.080000	47.470669	-3.799103	99.114704	0.127127
0.081000	47.470669	-3.913543	100.858005	0.121950
0.082000	47.546963	-4.180572	98.960518	0.126643
0.083000	47.623257	-3.989837	99.584460	0.124396
