BioWare Version 5.4.9.0 Export
Device:	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)
Samples (#):	1500	1500	1500
Rate (Hz):	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	1499	1499	1499
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	14.990000	14.990000	14.990000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 13, 2024  11:28:42
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	46.801561	8.812302	135.017282
0.010000	46.720572	8.932800	135.649606
0.020000	46.720572	9.255822	136.281112
0.030000	46.599598	8.974450	136.439889
0.040000	46.317837	9.175703	136.122826
0.050000	46.398315	8.572261	134.227323
0.060000	46.398315	8.411068	134.859811
0.070000	46.559614	8.210451	135.018921
0.080000	46.318514	7.849277	133.438186
0.090000	46.358839	7.647387	132.648396
0.100000	46.117571	7.325636	132.807009
0.110000	46.036922	7.204185	133.122271
0.120000	45.835979	7.043945	132.016235
0.130000	45.795485	6.843646	131.859095
0.140000	46.117231	6.923766	133.282195
0.150000	46.077248	6.522213	132.490438
0.160000	45.714836	6.884024	131.701465
0.170000	45.392920	6.842374	130.437140
0.180000	45.513723	6.965098	130.120895
0.190000	45.714836	7.083687	129.963591
0.200000	45.916290	7.002931	130.436974
0.210000	46.157726	7.324682	130.911508
0.220000	45.957123	7.404802	129.804650
0.230000	45.755840	7.766930	129.963265
0.240000	45.715855	7.927488	129.489880
0.250000	45.474756	7.765976	128.858538
0.260000	45.474756	7.967548	129.174617
0.270000	45.635714	7.806672	128.858867
0.280000	45.716194	7.766294	128.067925
0.290000	45.353952	7.806990	129.807108
0.300000	45.313627	7.846414	131.230210
0.310000	45.112686	8.369100	130.437794
0.320000	45.152670	8.288662	130.596246
0.330000	45.192654	8.128423	129.964740
0.340000	45.233318	8.007607	131.387185
0.350000	45.152842	8.088363	131.703102
0.360000	44.831093	7.966912	132.809304
0.370000	44.871078	8.046395	131.544814
0.380000	44.589315	7.966594	130.437960
0.390000	44.629980	7.845460	132.650853
0.400000	44.589485	7.684903	132.492893
0.410000	44.710459	7.604147	131.384729
0.420000	44.750614	7.764386	131.702611
0.430000	44.347878	7.483331	131.386040
0.440000	43.905327	7.805400	132.176813
0.450000	43.945992	7.483649	132.651672
0.460000	43.784523	7.403848	131.544650
0.470000	43.945482	7.525935	132.809464
0.480000	43.985636	7.645479	133.440973
0.490000	44.065947	7.444862	133.599095
0.500000	43.864834	7.646115	132.807664
0.510000	43.784523	7.767566	133.757707
0.520000	43.502762	7.687447	133.123908
0.530000	43.864153	7.848640	133.441791
0.540000	43.502251	7.768839	133.282358
0.550000	43.984108	7.648023	132.018199
0.560000	44.105082	7.768839	133.600239
0.570000	44.185732	7.889336	132.652162
0.580000	44.265871	7.969774	132.809630
0.590000	44.385996	7.770429	131.229225
0.600000	44.345840	7.689037	130.438452
0.610000	44.305687	7.529116	131.545800
0.620000	44.264853	7.770429	131.386202
0.630000	43.943106	7.769475	130.912814
0.640000	44.143539	7.890926	131.701465
0.650000	43.902950	8.010788	131.860567
0.660000	44.184032	7.810170	131.702281
0.670000	43.781637	7.810489	132.966115
0.680000	43.942766	7.769793	134.388067
0.690000	44.143707	7.972000	135.337127
0.700000	44.264853	7.770747	136.283572
0.710000	44.143539	7.891562	137.706507
0.720000	44.103046	7.449632	138.496462
0.730000	44.144049	7.568858	137.706014
0.740000	43.781809	7.488738	138.020948
0.750000	44.224527	7.530388	138.338504
0.760000	44.465796	7.571401	138.653275
