BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	8906	8906	8906	8906
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	8.906000	8.906000	8.906000	8.906000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	43.289856	5.026044	104.015298	0.067124
0.001000	42.908386	4.873456	102.587253	0.068847
0.002000	42.832092	5.026044	104.328908	0.066818
0.003000	42.717651	4.720868	103.855198	0.066938
0.004000	42.603210	4.987897	104.014642	0.068224
0.005000	42.374329	4.720868	102.908085	0.067672
0.006000	42.641357	4.835309	103.067197	0.066836
0.007000	42.488770	4.797162	103.534680	0.067695
0.008000	42.145447	4.911603	102.905770	0.066283
0.009000	42.221741	4.720868	103.698378	0.067459
0.010000	42.336182	4.759015	103.695729	0.064764
0.011000	42.069153	4.835309	104.335164	0.067425
0.012000	41.992859	4.835309	103.221701	0.066143
0.013000	42.107300	4.720868	102.909075	0.067371
0.014000	42.145447	4.720868	102.272944	0.066666
0.015000	41.992859	4.415692	102.907096	0.067477
0.016000	42.031006	4.911603	104.173735	0.065101
0.017000	41.878418	4.835309	103.068502	0.064429
0.018000	41.840271	4.568280	102.589864	0.066565
0.019000	41.687683	4.568280	102.112530	0.067591
0.020000	41.916565	4.797162	102.587885	0.066590
0.021000	41.916565	4.606427	101.642751	0.067105
0.022000	41.916565	4.606427	104.015614	0.064255
0.023000	41.878418	4.568280	102.591164	0.064963
0.024000	41.496948	4.644574	102.585255	0.067235
0.025000	41.840271	4.530133	102.745016	0.065169
0.026000	41.916565	4.453839	103.547479	0.064629
0.027000	41.649536	4.491986	102.743378	0.066473
0.028000	41.802124	4.224957	102.588221	0.066205
0.029000	41.649536	4.415692	102.267681	0.066598
0.030000	41.649536	4.186810	101.953729	0.065952
0.031000	41.802124	4.377545	102.268985	0.064935
0.032000	41.611389	4.339398	104.331857	0.065003
0.033000	41.573242	4.377545	101.795945	0.066250
0.034000	41.573242	4.377545	102.585567	0.065236
0.035000	41.725830	4.377545	103.536956	0.066110
0.036000	41.802124	3.881634	102.909055	0.065581
0.037000	41.649536	4.186810	101.797252	0.065415
0.038000	41.535095	4.072369	101.954067	0.066774
0.039000	41.725830	4.301251	102.116778	0.064357
0.040000	41.420654	4.491986	101.795588	0.064014
0.041000	41.573242	4.110516	102.591167	0.066290
0.042000	41.916565	4.339398	102.430730	0.064517
0.043000	41.802124	4.034222	102.431067	0.065729
0.044000	41.649536	4.224957	101.158492	0.064755
0.045000	41.649536	3.957928	102.592157	0.065824
0.046000	41.496948	4.224957	102.428771	0.065898
0.047000	41.725830	3.881634	101.960637	0.065375
0.048000	41.649536	4.186810	101.479029	0.066451
0.049000	41.611389	4.148663	101.004325	0.066164
0.050000	41.496948	4.072369	101.638141	0.065801
0.051000	41.725830	4.263104	101.635825	0.064979
0.052000	41.649536	4.224957	100.523708	0.065944
0.053000	41.763977	4.186810	100.054920	0.067514
0.054000	41.725830	4.415692	101.480670	0.065590
0.055000	41.802124	3.957928	101.163119	0.066926
0.056000	41.344360	4.339398	101.008599	0.066617
0.057000	41.725830	3.996075	100.371498	0.067719
0.058000	41.763977	4.110516	100.370510	0.066512
0.059000	41.840271	4.186810	101.164425	0.066514
0.060000	41.649536	4.263104	101.639781	0.065306
0.061000	41.382507	4.148663	101.481977	0.064950
0.062000	41.458801	4.224957	101.640770	0.066169
0.063000	41.687683	4.072369	101.639781	0.065686
0.064000	41.763977	4.224957	101.481999	0.067116
0.065000	41.763977	4.263104	100.055910	0.067077
0.066000	41.649536	4.301251	100.532254	0.066597
0.067000	41.458801	4.301251	101.166721	0.066271
0.068000	41.916565	4.224957	101.009254	0.066345
0.069000	41.535095	4.072369	99.743582	0.065339
0.070000	41.611389	4.224957	101.320907	0.066359
0.071000	41.611389	4.110516	100.692018	0.065887
0.072000	41.725830	4.110516	100.049996	0.066793
0.073000	41.649536	4.186810	101.479030	0.065245
0.074000	41.649536	4.148663	100.849488	0.065981
0.075000	41.420654	4.148663	100.212369	0.065002
0.076000	41.573242	4.301251	101.633869	0.064642
0.077000	41.535095	3.957928	100.851130	0.065196
0.078000	41.535095	4.148663	100.060497	0.066727
0.079000	41.268066	4.148663	99.101893	0.067641
0.080000	41.229919	4.224957	99.581207	0.066617
0.081000	41.420654	4.186810	100.053275	0.064850
0.082000	41.496948	4.072369	99.893177	0.066387
0.083000	41.153625	3.919781	99.893494	0.065766
0.084000	41.382507	3.996075	99.892840	0.065246
0.085000	41.191772	3.919781	99.578237	0.065081
0.086000	41.344360	4.148663	99.578217	0.063441
